Product Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
BASMATI RICE,314088.0,311.93,34.631,38.929,1006.92
GUARGUM,35422.12,73.87,3.906,9.219,479.52
BUFFALO MEAT,51204.02,72.97,5.646,9.107,701.71
FRESH ONIONS,214238.41,64.17,23.622,8.008,3338.61
OTHER FRESH FRUITS,44954.24,28.98,4.957,3.617,1551.22
MANGO PULP,23042.97,27.76,2.541,3.464,830.08
"PROCESSED FRUITS, JUICES & NUTS",16975.2,23.43,1.872,2.924,724.51
PROCESSED VEGETABLES,41094.1,23.13,4.531,2.887,1776.66
FRESH MANGOES,16839.02,22.11,1.857,2.759,761.6
GROUNDNUTS,22321.0,20.94,2.461,2.613,1065.95
NON BASMATI RICE,35473.9,19.52,3.911,2.436,1817.31
SHEEP/GOAT MEAT,5702.51,18.54,0.629,2.314,307.58
CEREAL PREPARATIONS,9731.29,17.32,1.073,2.162,561.85
WALNUTS,3539.65,14.75,0.39,1.841,239.98
PULSES,10156.64,11.56,1.12,1.443,878.6
ALCOHOLIC BEVERAGES,13861.5,8.08,1.528,1.008,1715.53
ANIMAL CASINGS,382.15,6.6,0.042,0.824,57.9
FRESH GRAPES,7855.43,6.4,0.866,0.799,1227.41
MISCELLANEOUS PREPARATIONS,2799.07,5.96,0.309,0.744,469.64
OTHER FRESH VEGETABLES,10861.03,4.72,1.198,0.589,2301.07
FLORICULTURE,0.0,4.67,0.0,0.583,0.0
FRUITS & VEGETABLES SEEDS,5248.65,4.6,0.579,0.574,1141.01
WHEAT,15800.0,2.99,1.742,0.373,5284.28
JAGGERY & CONFECTIONERY,3853.35,2.88,0.425,0.359,1337.97
DAIRY PRODUCTS,591.81,2.41,0.065,0.301,245.56
COCOA PRODUCTS,170.7,0.56,0.019,0.07,304.82
POULTRY PRODUCTS,627.07,0.32,0.069,0.04,1959.59
PROCESSED MEAT,3.3,0.05,0.0,0.006,66.0
MILLED PRODUCTS,73.0,0.03,0.008,0.004,2433.33
OTHER CEREALS,16.0,0.02,0.002,0.002,800.0
CUCUMBER AND GHERKINS( PREPD. &  PRESVD),21.6,0.01,0.002,0.001,2160.0
Total,906947.73,801.28,100.0,100.0,1131.87
